date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-03-02T00:00:00.000,3765925,0.68,1493623,0.67,195243,0.62,176678,0.64,28978,0.97,934427,1.01,7434,0.47
2023-03-03T00:00:00.000,3481830,0.63,1417670,0.63,172623,0.55,150603,0.55,27298,0.92,933992,1.01,6167,0.39
2023-03-04T00:00:00.000,2173217,0.71,870341,0.65,96720,0.90,84352,0.62,16263,0.96,844751,0.97,1449,0.29
2023-03-05T00:00:00.000,1772121,0.77,712408,0.72,81079,0.93,72918,0.77,16956,0.96,831376,1.03,1215,0.39
2023-03-06T00:00:00.000,3427019,0.62,1460599,0.65,185896,0.59,163314,0.59,27550,0.93,875696,0.95,6849,0.43
2023-03-07T00:00:00.000,3773780,0.68,1490272,0.66,205559,0.66,186615,0.68,28417,0.96,887227,0.96,7607,0.48
2023-03-08T00:00:00.000,3842861,0.69,1514182,0.68,203258,0.65,186940,0.68,30476,1.02,918426,1.00,7452,0.47
2023-03-09T00:00:00.000,3827656,0.69,1515155,0.68,201711,0.64,186197,0.68,29847,1.00,944406,1.02,7211,0.45
2023-03-10T00:00:00.000,3502339,0.63,1408909,0.63,182873,0.58,160550,0.58,28209,0.95,964271,1.05,6135,0.38
2023-03-11T00:00:00.000,2230530,0.73,821990,0.62,78979,0.73,88667,0.65,15493,0.91,842108,0.97,1796,0.35
2023-03-12T00:00:00.000,1773585,0.77,686039,0.69,75970,0.88,70403,0.75,16644,0.94,832873,1.03,1547,0.49
2023-03-13T00:00:00.000,3352388,0.60,1377045,0.61,179787,0.57,157310,0.57,26027,0.88,852961,0.93,6358,0.40
2023-03-14T00:00:00.000,3577250,0.64,1360497,0.61,189402,0.60,159031,0.58,26262,0.88,775384,0.84,6866,0.43
2023-03-15T00:00:00.000,3912366,0.70,1493605,0.67,205092,0.65,187128,0.68,29687,1.00,916918,1.00,7473,0.47
